Item,Quantity,Name,Material
1,1,bottom_mgn15,PETG
2,19,"M3  Hex nut ",Hardened Alloy Steel
3,2,DIN 912 M3 20 mm,Hardened Alloy Steel
4,4,DIN 912 M3 40 mm,Hardened Alloy Steel
5,1,Duct v2.1 Straight,PETG
6,1,back_corexy,PETG
7,2,tension_slider_9mm_belt_M5,PETG
8,1,DIN 912 M3 25 mm,Hardened Alloy Steel
9,2,DIN 912 M5 45 mm,Hardened Alloy Steel
10,2,M5  Hex nut Nyloc,Hardened Alloy Steel
11,1,5015 fan,- None -
12,6,DIN 912 M3 10 mm,Hardened Alloy Steel
13,1,LGX with copperhead screwmount,- None -
14,1,LGX with copperhead screwmount,- None -
15,1,PC4-M6,- None -
16,8,DIN 912 M3 8 mm,Hardened Alloy Steel
17,1,top_lgx_mgn15_a,PETG
18,1,top_lgx_mgn15_b,PETG
19,1,cable_holder,PETG
20,1,unversal_cable_mount,PETG
21,1,universal_face,PETG
22,2,face_belt_grabber,PETG
23,1,PTFE 60mm,- None -